key,title,description,assignee,type,priority,status,text
CAMEL-13955,SJMS-Batch does not support CompletionAware aggregators,"SJMS-Batch isn't aware of the CompletionAwareAggregationStrategy interface and so never calls the completion method.

This prevents SJMS-Batch from working as expected with built in aggregators such as org.apache.camel.processor.aggregate.GroupedBodyAggregationStrategy - the aggregated message remains as an exchange header instead of being the message body.

 ",davsclaus,Improvement,Minor,Resolved,"SJMS-Batch does not support CompletionAware aggregators SJMS-Batch isn't aware of the CompletionAwareAggregationStrategy interface and so never calls the completion method.

This prevents SJMS-Batch from working as expected with built in aggregators such as org.apache.camel.processor.aggregate.GroupedBodyAggregationStrategy - the aggregated message remains as an exchange header instead of being the message body.

 "
CAMEL-13949,camel-core vs camel-core-engine,"The camel-core-engine trims camel-core using maven exclusions which may lead to unexpected result as if both are present in the dependencies tree, then one may win over the other depending of the maven resolution.
",davsclaus,Improvement,Major,Resolved,"camel-core vs camel-core-engine The camel-core-engine trims camel-core using maven exclusions which may lead to unexpected result as if both are present in the dependencies tree, then one may win over the other depending of the maven resolution.
"
CAMEL-13947,Create a configuration service instead of leveraging the properties component,"As today the way camel resolves properties/configuration is trough the Properties Component which leads to a chicken and egg problem as:

- camel core depends on properties component
- the properties component depends on camel core

We should probably have a proper configuration service part of camel core that can eventually be leveraged by the Properties Component.

",davsclaus,Improvement,Major,Resolved,"Create a configuration service instead of leveraging the properties component As today the way camel resolves properties/configuration is trough the Properties Component which leads to a chicken and egg problem as:

- camel core depends on properties component
- the properties component depends on camel core

We should probably have a proper configuration service part of camel core that can eventually be leveraged by the Properties Component.

"
CAMEL-13941,NullPointerException when Conduit is null,"Hello,

the CxfProducer.doStart() retrieves a Conduit.

If this Conduit is null, should we still throw a NullPointerException or, should we check nullity before condition?
{code:java}
Conduit conduit = client.getConduit();

        if (conduit.getClass().getName().endsWith(""JMSConduit"")) {
...
}{code}

https://github.com/apache/camel/blob/camel-2.21.2/components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfProducer.java#L87
https://github.com/apache/camel/blob/camel-2.23.1/components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfProducer.java#L87
https://github.com/apache/camel/blob/camel-2.24.1/components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfProducer.java#L87

Thanks for your point of view.",davsclaus,Bug,Minor,Resolved,"NullPointerException when Conduit is null Hello,

the CxfProducer.doStart() retrieves a Conduit.

If this Conduit is null, should we still throw a NullPointerException or, should we check nullity before condition?
{code:java}
Conduit conduit = client.getConduit();

        if (conduit.getClass().getName().endsWith(""JMSConduit"")) {
...
}{code}

https://github.com/apache/camel/blob/camel-2.21.2/components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfProducer.java#L87
https://github.com/apache/camel/blob/camel-2.23.1/components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfProducer.java#L87
https://github.com/apache/camel/blob/camel-2.24.1/components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfProducer.java#L87

Thanks for your point of view."
CAMEL-13939,camel3 - Rename camel-management-impl to camel-management,"Lets avoid the -impl in the name as its the only Camel artifact that has this ending.


",davsclaus,Task,Major,Resolved,"camel3 - Rename camel-management-impl to camel-management Lets avoid the -impl in the name as its the only Camel artifact that has this ending.


"
CAMEL-13936,SNMP Component support ‘snmp walk’,"The current version, the SNMP Component can not support 'snmp walk'.

Although the source code has appear 'GET_NEXT' in SnmpActionType.java, but no found in processor.

Now, i add the 'snmp walk' and in my application it run successfully.

So, if it need add to the next camel version, please check.

Thanks!",davsclaus,New Feature,Minor,Resolved,"SNMP Component support 'snmp walk' The current version, the SNMP Component can not support 'snmp walk'.

Although the source code has appear 'GET_NEXT' in SnmpActionType.java, but no found in processor.

Now, i add the 'snmp walk' and in my application it run successfully.

So, if it need add to the next camel version, please check.

Thanks!"
CAMEL-13935,camel-properties: Properties with types different from string are not taken into account,"
The properties component spi has a setOverrideProperties that allow to use an arbitrary Properties object so it is possible that the properties it holds are not of type string. 

In case the properties component is asked to resolve a non string property, then it will fail as DefaultPropertiesLookup uses Properties::getProperty [¹] which returns null in case of the requested property is not of type string.

The error is a little bit misleading as it states: 

{code}
because of PropertiesComponent with name properties must be defined in CamelContext to support property placeholders. Property with key [the.body] not found in properties from text: in.body == {{the.body}}
{code}

[1] https://github.com/apache/camel/blob/master/components/camel-properties/src/main/java/org/apache/camel/component/properties/DefaultPropertiesLookup.java#L40",davsclaus,Bug,Minor,Resolved,"camel-properties: Properties with types different from string are not taken into account 
The properties component spi has a setOverrideProperties that allow to use an arbitrary Properties object so it is possible that the properties it holds are not of type string. 

In case the properties component is asked to resolve a non string property, then it will fail as DefaultPropertiesLookup uses Properties::getProperty [1] which returns null in case of the requested property is not of type string.

The error is a little bit misleading as it states: 

{code}
because of PropertiesComponent with name properties must be defined in CamelContext to support property placeholders. Property with key [the.body] not found in properties from text: in.body == {{the.body}}
{code}

[1] https://github.com/apache/camel/blob/master/components/camel-properties/src/main/java/org/apache/camel/component/properties/DefaultPropertiesLookup.java#L40"
CAMEL-13931,camel-file - tempFileName directory is not auto-created if it is relative before the endpoint path,"Hi,

I face a requirement to place temp files in a folder at the same hierarchy as the output folder like this:
 * {{target/data/output/claus.txt}}
 * {{target/data/temp/claus.tmp}}

Using a simple route definition like:
{code:java}
from(""direct:a"").to(""file://target/data/output/?tempFileName=../temp/${file:name.noext}.tmp""){code}
 

If the temp folder does not exist, the GenericFileProducer should auto-create it. However, it only does so correctly for the tempFileName path, if it is *relativ ""after"" the endpoint path*. If it is above/before the endpoint path the tempFileName path will be created as a child of the endpoint path instead:
 * {{target/data/output/target/data/temp}}

This results in a NoSuchFileException when camel tries to write the temp file into the ""correct"" temp directory target/data/temp afterwards.

 

 

A very easy way to reproduce this is to use the 'parentFileUrl' instead of the 'fileUrl' in the createRouteBuilder method of FileProduceTempFileNameTest.java ([https://github.com/apache/camel/blob/master/core/camel-core/src/test/java/org/apache/camel/component/file/FileProduceTempFileNameTest.java]).",davsclaus,Bug,Minor,Resolved,"camel-file - tempFileName directory is not auto-created if it is relative before the endpoint path Hi,

I face a requirement to place temp files in a folder at the same hierarchy as the output folder like this:
 * {{target/data/output/claus.txt}}
 * {{target/data/temp/claus.tmp}}

Using a simple route definition like:
{code:java}
from(""direct:a"").to(""file://target/data/output/?tempFileName=../temp/${file:name.noext}.tmp""){code}
 

If the temp folder does not exist, the GenericFileProducer should auto-create it. However, it only does so correctly for the tempFileName path, if it is *relativ ""after"" the endpoint path*. If it is above/before the endpoint path the tempFileName path will be created as a child of the endpoint path instead:
 * {{target/data/output/target/data/temp}}

This results in a NoSuchFileException when camel tries to write the temp file into the ""correct"" temp directory target/data/temp afterwards.

 

 

A very easy way to reproduce this is to use the 'parentFileUrl' instead of the 'fileUrl' in the createRouteBuilder method of FileProduceTempFileNameTest.java ([https://github.com/apache/camel/blob/master/core/camel-core/src/test/java/org/apache/camel/component/file/FileProduceTempFileNameTest.java])."
CAMEL-13929,camel3 - ApiEndpoint should extend ScheduledPollEndpoint,"As the ApiConsumer is scheduled poll based, but the endpoint was not its base class. Then options get out of sync and not documented either.",davsclaus,Improvement,Major,Resolved,"camel3 - ApiEndpoint should extend ScheduledPollEndpoint As the ApiConsumer is scheduled poll based, but the endpoint was not its base class. Then options get out of sync and not documented either."
CAMEL-13925,camel-seda - SedaConsumer should extend DefaultConsumer,So its like the other components where we extend default classes,davsclaus,Improvement,Major,Resolved,camel-seda - SedaConsumer should extend DefaultConsumer So its like the other components where we extend default classes
